ClientID,ClientName,Region,ClientStartDate,InvoiceMonth,ServiceTier_Contract,SLA_Tier,ContractType,BillingCycle,Premium_Support_Enabled,ServerCount_Committed,ServerCount_Actual_Avg,Data_Egress_TB,Products_Subscribed_Count,SupportTicketCount,Uptime_Percentage,CSAT_Score,Churned,BillingGap,Revenue_Anomaly,Seasonal_Anomaly,BilledAmount_INR
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-01-01,Basic,Bronze,Standard,Monthly,False,53,45,58.7,9,4,95.64,2.9,False,False,False,False,24300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-02-01,Standard,Bronze,Standard,Annual,False,43,53,23.03,9,14,95.61,1.9,False,False,False,False,28300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-03-01,Basic,Bronze,Standard,Monthly,False,4,1,4.98,1,10,95.35,1.95,False,False,False,False,700.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-04-01,Basic,Gold,Flexible,Monthly,False,52,55,12.23,2,13,96.77,2.64,False,False,False,False,27900.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-05-01,Standard,Gold,Standard,Monthly,False,22,15,15.67,4,17,97.24,2.69,False,False,False,False,8300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-06-01,Premium,Silver,Standard,Monthly,False,35,25,58.17,4,5,97.03,2.93,False,False,False,False,13300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-07-01,Basic,Bronze,Flexible,Quarterly,False,51,55,17.83,9,15,95.77,2.19,False,False,False,False,29300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-08-01,Standard,Gold,Flexible,Monthly,True,31,37,55.24,9,5,95.28,3.03,False,False,False,False,20300.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-09-01,Basic,Bronze,Flexible,Monthly,False,37,34,35.16,1,19,95.41,3.63,False,False,False,False,17200.0
NEX-1000,"Rodriguez, Figueroa and Sanchez",APAC,2011-01-01,2011-10-01,Basic,Gold,Flexible,Monthly,True,9,19,18.7,6,2,95.05,3.48,False,False,False,False,10700.0
